# x, f(x), root1, root2
-1.700000000000000000e+01,3.800000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.691478696741854648e+01,3.766839529902450181e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.682957393483709296e+01,3.733824285023335392e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.674436090225563945e+01,3.700954265362655065e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.665914786967418593e+01,3.668229470920409199e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.657393483709273241e+01,3.635649901696597794e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.648872180451127889e+01,3.603215557691220283e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.640350877192982537e+01,3.570926438904278939e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.631829573934837185e+01,3.538782545335770919e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.623308270676691834e+01,3.506783876985697361e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.614786967418546482e+01,3.474930433854059402e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.606265664160401130e+01,3.443222215940854767e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.597744360902255600e+01,3.411659223246084593e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.589223057644110249e+01,3.380241455769750019e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.580701754385964897e+01,3.348968913511849905e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.572180451127819545e+01,3.317841596472384254e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.563659147869674193e+01,3.286859504651352495e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.555137844611528841e+01,3.256022638048755766e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.546616541353383489e+01,3.225330996664594068e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.538095238095238138e+01,3.194784580498866262e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.529573934837092786e+01,3.164383389551572918e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.521052631578947434e+01,3.134127423822715173e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.512531328320802082e+01,3.104016683312290752e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.504010025062656553e+01,3.074051168020300793e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.495488721804511201e+01,3.044230877946746432e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.486967418546365849e+01,3.014555813091625964e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.478446115288220497e+01,2.985025973454940527e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.469924812030075145e+01,2.955641359036688982e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.461403508771929793e+01,2.926401969836872468e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.452882205513784442e+01,2.897307805855490983e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.444360902255639090e+01,2.868358867092543392e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.435839598997493738e+01,2.839555153548030262e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.427318295739348386e+01,2.810896665221952162e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.418796992481203034e+01,2.782383402114307955e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.410275689223057682e+01,2.754015364225099347e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.401754385964912331e+01,2.725792551554324632e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.393233082706766979e+01,2.697714964101984378e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.384711779448621627e+01,2.669782601868079155e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.376190476190476275e+01,2.641995464852607824e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.367669172932330923e+01,2.614353553055571524e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.359147869674185571e+01,2.586856866476969685e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.350626566416040220e+01,2.559505405116802308e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.342105263157894868e+01,2.532299168975069676e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.333583959899749338e+01,2.505238158051770938e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.325062656641603986e+01,2.478322372346907514e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.316541353383458635e+01,2.451551811860477983e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.308020050125313283e+01,2.424926476592484050e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.299498746867167931e+01,2.398446366542923727e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.290977443609022579e+01,2.372111481711798433e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.282456140350877227e+01,2.345921822099107601e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.273934837092731875e+01,2.319877387704851230e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.265413533834586524e+01,2.293978178529029606e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.256892230576441172e+01,2.268224194571642442e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.248370927318295642e+01,2.242615435832689172e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.239849624060150290e+01,2.217151902312171217e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.231328320802004939e+01,2.191833594010087722e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.222807017543859587e+01,2.166660510926438690e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.214285714285714235e+01,2.141632653061224119e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.205764411027568883e+01,2.116750020414444293e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.197243107769423531e+01,2.092012612986099498e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.188721804511278179e+01,2.067420430776188596e+02,3.000000000000000000e+00,2.000000000000000000e+00
-1.180200501253132828e+01,2.042973473784712439e+02,3.000000000000000000e+00,2.000000000000000000e+00
